sector,anio,vab,rta,imb,puestos_total,puestos_ar,puestos_anr,puestos_na,ipc_base2016,vab_real,rta_real,imb_real,part_rta,part_imb,part_excedente,productividad,part_ar,part_anr,part_na,grupo_prod,productividad_media
"Agricultura, ganadería, caza y silvicultura",2016,493469.1258894553,100970.71934273028,49049.12782766978,1333.564271803166,334.73498163588744,536.7996868369778,462.0296033303007,100,493469.1258894553,100970.71934273028,49049.12782766978,0.2046140559669974,0.0993965483438523,0.6959893956891504,370.03775245284265,0.2510077607157837,0.4025300453731782,0.346462193911038,Media productividad,343.0126300030309
"Agricultura, ganadería, caza y silvicultura",2017,530207.909375364,130598.01244352204,63297.41647743712,1352.9753823599,337.5433165761161,544.4726403371735,470.9594254466102,125.54653977089747,422319.81091865164,104023.5857410668,50417.491866318946,0.24631471944162264,0.11938225620211432,0.6343030243562631,312.14153370775216,0.24948223077596798,0.4024261249953329,0.3480916442286989,Media productividad,343.0126300030309
"Agricultura, ganadería, caza y silvicultura",2018,614184.1860629388,162318.7085761087,87046.72578697835,1360.2725633525797,342.45988750165213,547.3914604309067,470.42121542002064,168.59175694351987,364302.6190590667,96279.1488260528,51631.6618114016,0.26428343851802627,0.1417273967032069,0.5939891647787668,267.8158987204686,0.2517582848672713,0.40241307159925715,0.34582864353347137,Media productividad,343.0126300030309
"Agricultura, ganadería, caza y silvicultura",2019,1070368.671009129,238063.98266568175,139744.85765977926,1385.9214512567503,346.5788012041805,553.2778192778217,486.0648307747481,259.15986394895566,413014.8298040277,91859.89645085283,53922.26077387644,0.22241307048088232,0.13055768675294815,0.6470292427661695,298.00738665925604,0.250071027394737,0.3992129703859556,0.3507160022193073,Media productividad,343.0126300030309
"Agricultura, ganadería, caza y silvicultura",2020,1638714.1962374365,356436.2413493283,200740.9254512209,1369.949847878952,339.0360882718413,551.610471714625,479.30328789248586,367.92304089693823,445395.91547257005,96877.93416807849,54560.57466850846,0.2175097049672984,0.12249904584468198,0.6599912491880197,325.11840937984834,0.2474806568990534,0.40265012078264417,0.3498692223183026,Media productividad,343.0126300030309
"Agricultura, ganadería, caza y silvicultura",2021,3216496.0993437604,519847.4511654413,308171.1350030089,1388.136646306652,342.6105975810001,556.83581010648,488.69023861917174,545.7444450585634,589377.7075456262,95254.73980951961,56468.029641591544,0.1616191766162882,0.09580957833770819,0.7425712450460036,424.58190921891946,0.2468133079640016,0.4011390460643959,0.35204764597160243,Media productividad,343.0126300030309
"Agricultura, ganadería, caza y silvicultura",2022,5195410.4660431035,890068.331800071,501480.4754019327,1369.5079363696425,336.4002864124142,552.690453515781,480.4171964414471,940.4484760525055,552439.6708951701,94642.96603851143,53323.545964673875,0.17131819278139912,0.09652374507838785,0.7321580621402131,403.38551988212913,0.24563587948541593,0.40356863866074366,0.35079548185384024,Media productividad,343.0126300030309
Pesca,2016,21989.34534027795,8440.671873616335,681.7273834613678,21.46192685884069,13.504107011578458,3.2725538800158773,4.685265967246355,100,21989.34534027795,8440.671873616335,681.7273834613678,0.38385280430134183,0.031002622993629818,0.5851445727050284,1024.5746099549306,0.6292122371116826,0.15248182987203837,0.218305933016279,Alta productividad,1169.0281379208839
Pesca,2017,27494.989976078636,11049.853832487854,884.5327989159716,21.94433638485039,13.723062321824347,3.252554588196769,4.968719474829275,125.54653977089747,21900.23717599277,8801.4005425016785,704.5457409898384,0.4018860833228715,0.03217068999426945,0.5659432266828591,997.9904059031803,0.6253578181246927,0.1482184072990341,0.2264237745762732,Alta productividad,1169.0281379208839
Pesca,2018,54917.4660601934,18297.93136949077,1526.5750829984088,22.337592063815126,14.011468027054732,3.2392658084370276,5.086858228323365,168.59175694351987,32574.229639585148,10853.396216530788,905.4861937940589,0.33318965134762313,0.027797624189819237,0.6390127244625576,1458.2695192268484,0.6272595536271808,0.14501409996130893,0.2277263464115102,Alta productividad,1169.0281379208839
Pesca,2019,76229.25306480956,27524.575481939886,2247.2962136978485,22.25910117639432,13.947673494551893,3.282199119137894,5.029228562704538,259.15986394895566,29413.988687624766,10620.693753474554,867.1467022148452,0.36107628469793207,0.029480758676557067,0.6094429566255108,1321.4364971222724,0.626605422385309,0.14745425222374442,0.22594032539094672,Alta productividad,1169.0281379208839
Pesca,2020,91022.85200327936,33602.485486522484,2353.5696690258583,21.044018137794964,13.628149649977686,3.097862542799821,4.318005945017456,367.92304089693823,24739.644405357172,9133.020156771083,639.6907525248289,0.3691653771221304,0.02585690974548967,0.6049777131323799,1175.6140981899687,0.6476020672830342,0.14720869952283844,0.20518923319412732,Alta productividad,1169.0281379208839
Pesca,2021,153467.84654241716,55751.888123247234,4573.353285869991,22.78360329654508,14.317207870444172,3.3623629406545135,5.104032485446398,545.7444450585634,28120.826136113697,10215.749995818014,838.0027185396689,0.36328057882690046,0.029800074666493457,0.6069193465066061,1234.2571879478764,0.6283996295096677,0.14757819019629717,0.22402218029403526,Alta productividad,1169.0281379208839
Pesca,2022,221666.1326018883,86334.09895477016,9456.853327081826,24.27284408459417,14.66276731497444,3.088655433740745,6.521421335878982,940.4484760525055,23570.258046705858,9180.098767042939,1005.5684673738413,0.3894780765171103,0.04266259900002995,0.5678593244828597,971.05464710111,0.6040811395596123,0.1272473642963453,0.2686714961440423,Alta productividad,1169.0281379208839
Explotación de minas y canteras,2016,264727.38849397365,85652.20498309741,544.7873035461246,100.0375012294846,88.10276093370516,9.79564171792592,2.139098577853511,100,264727.38849397365,85652.20498309741,544.7873035461246,0.3235487097514553,0.0020579181725223204,0.6743933720760223,2646.281496842797,0.8806973370076355,0.09791969608931811,0.021382966903046183,Alta productividad,2795.767649825986
