sector,anio,vbp_macro
Valor Bruto de Producción a Precios Básicos,2016,13145094.471149756
Valor Bruto de Producción a Precios Básicos,2017,16952886.105457336
Valor Bruto de Producción a Precios Básicos,2018,23929304.03969045
Valor Bruto de Producción a Precios Básicos,2019,35154464.15030108
Valor Bruto de Producción a Precios Básicos,2020,44342242.55304973
Valor Bruto de Producción a Precios Básicos,2021,77317786.97079961
Valor Bruto de Producción a Precios Básicos,2022,138714963.55059734
"Agricultura, ganadería, caza y silvicultura",2016,867801.5600037442
"Agricultura, ganadería, caza y silvicultura",2017,988591.8828166622
"Agricultura, ganadería, caza y silvicultura",2018,1419724.6721109394
"Agricultura, ganadería, caza y silvicultura",2019,2427897.2217901982
"Agricultura, ganadería, caza y silvicultura",2020,3505352.1573707336
"Agricultura, ganadería, caza y silvicultura",2021,6374114.411578491
"Agricultura, ganadería, caza y silvicultura",2022,10182453.869049
Cultivos agrícolas,2016,582046.197114254
Cultivos agrícolas,2017,657560.5161776693
Cultivos agrícolas,2018,896316.4497101854
Cultivos agrícolas,2019,1527785.2643301887
Cultivos agrícolas,2020,2141439.7728804755
Cultivos agrícolas,2021,4072569.3932252615
Cultivos agrícolas,2022,6369083.398929999
Cría de animales,2016,236326.10804020817
Cría de animales,2017,271585.5628056299
Cría de animales,2018,393225.0629602714
Cría de animales,2019,679889.4144953305
Cría de animales,2020,1067889.664870608
Cría de animales,2021,1816856.886
Cría de animales,2022,3066998.382
"Servicios agrícolas y pecuarios, excepto los veterinarios",2016,39247.459416816724
"Servicios agrícolas y pecuarios, excepto los veterinarios",2017,47418.630285676074
"Servicios agrícolas y pecuarios, excepto los veterinarios",2018,80712.18380031342
"Servicios agrícolas y pecuarios, excepto los veterinarios",2019,145461.35879120696
"Servicios agrícolas y pecuarios, excepto los veterinarios",2020,196315.18592027598
"Servicios agrícolas y pecuarios, excepto los veterinarios",2021,312165.38770170405
"Servicios agrícolas y pecuarios, excepto los veterinarios",2022,454733.6817000001
"Caza, repoblación de animales de caza y servicios conexos",2016,119.54208948871052
"Caza, repoblación de animales de caza y servicios conexos",2017,118.42861092636689
"Caza, repoblación de animales de caza y servicios conexos",2018,2203.4862896287605
"Caza, repoblación de animales de caza y servicios conexos",2019,3302.0140884872794
"Caza, repoblación de animales de caza y servicios conexos",2020,2527.42717239802
"Caza, repoblación de animales de caza y servicios conexos",2021,1798.6298779151603
"Caza, repoblación de animales de caza y servicios conexos",2022,3347.9300190000004
Construcciones agropecuarias,2016,5133.834618664699
Construcciones agropecuarias,2017,6013.934681623063
Construcciones agropecuarias,2018,23146.937350540295
Construcciones agropecuarias,2019,41594.9759372752
Construcciones agropecuarias,2020,63559.756087434405
Construcciones agropecuarias,2021,107725.669001424
Construcciones agropecuarias,2022,166783.75040000005
"Silvicultura, extracción de madera y servicios conexos",2016,4928.418724311968
"Silvicultura, extracción de madera y servicios conexos",2017,5894.810255137289
"Silvicultura, extracción de madera y servicios conexos",2018,24120.552
"Silvicultura, extracción de madera y servicios conexos",2019,29864.194147709146
"Silvicultura, extracción de madera y servicios conexos",2020,33620.35043954197
"Silvicultura, extracción de madera y servicios conexos",2021,62998.445772186446
"Silvicultura, extracción de madera y servicios conexos",2022,121506.72599999998
Pesca,2016,33096.71918516612
Pesca,2017,41020.2035272145
Pesca,2018,81888.1473113605
Pesca,2019,113968.8763563939
Pesca,2020,137279.2521809477
Pesca,2021,229865.51635352476
Pesca,2022,331551.411
Explotación de minas y canteras,2016,432535.1124620752
Explotación de minas y canteras,2017,507251.40218281804
Explotación de minas y canteras,2018,969205.179132828
Explotación de minas y canteras,2019,1399553.9661347663
Explotación de minas y canteras,2020,1376452.550194165
Explotación de minas y canteras,2021,2865388.021977352
Explotación de minas y canteras,2022,5041801.9862241
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección",2016,354686.9063898084
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección",2017,407149.29989827564
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección",2018,827566.4775253263
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección",2019,1143289.209678553
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección",2020,1066229.6718190925
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección",2021,2277204.7644472076
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección",2022,4043367.0477501005
Extracción de minerales metalíferos. Explotación de minas y canteras n.c.p.,2016,77848.20607226677
Extracción de minerales metalíferos. Explotación de minas y canteras n.c.p.,2017,100102.10228454246
Extracción de minerales metalíferos. Explotación de minas y canteras n.c.p.,2018,141638.70160750177
Extracción de minerales metalíferos. Explotación de minas y canteras n.c.p.,2019,256264.7564562133
Extracción de minerales metalíferos. Explotación de minas y canteras n.c.p.,2020,310222.8783750726
Extracción de minerales metalíferos. Explotación de minas y canteras n.c.p.,2021,588183.2575301446
Extracción de minerales metalíferos. Explotación de minas y canteras n.c.p.,2022,998434.938474
Industria manufacturera,2016,3636744.7581413346
Industria manufacturera,2017,4461238.2790184915
Industria manufacturera,2018,6377485.072341755
Industria manufacturera,2019,9409376.94610608
Industria manufacturera,2020,12617911.591262542
Industria manufacturera,2021,23299345.27633256
Industria manufacturera,2022,42410355.21889722
Elaboración de productos alimenticios y bebidas,2016,1301123.634356121
Elaboración de productos alimenticios y bebidas,2017,1582215.0895766292
Elaboración de productos alimenticios y bebidas,2018,2270706.642244658
Elaboración de productos alimenticios y bebidas,2019,3411535.2994288853
